ProductCategory,MonthlyNominalGDPIndexinMillion,MonthlyRealGDPIndexinMillion,CPI,unemploymentrate,CommercialBankInterestRateonCreditCardPlans,FinanceRateonPersonalLoansatCommercialBanks24MonthLoan,Earningsorwagesindollarsperhour,CottonMonthlyPriceUScentsperPoundlbs,Changein,Averageuplandplantedmillionacres,yieldperharvestedacre,Millusein480lbnetwerightinmillionbales,Exports,SeaLevelPressavg,Visibilityavg,Windavg,Precipsum,Event,FederalHoliday,Predictions
MenClothing,18317.81612,16601.48988,261.887,5,12.1,9.8,25.05,68.74,-4.29,8.398,777,3.675,9.7,1018.3,14.76666667,7.033333333,2.777333333,0,1,695.2841
OtherClothing,16073.57539,15385.84702,250.285,8.3,12.34,10.89,23.4,100.75,-0.36,14.426,754,3.475,10.35,1016.714286,14.32142857,10.71428571,1.234642857,1,1,1713.8043
MenClothing,18075.28141,16434.48238,261.066,5.5,12.04,9.69,24.88,72.86,1.62,10.845,826,3.625,10.3,1020.290323,14.03225806,6.806451613,1.52483871,1,1,796.21295
MenClothing,18201.39289,16505.53762,261.347,5.1,12.1,9.8,25.04,71.82,-0.73,8.75,784,3.675,9.475,1015.225806,15.35483871,5.903225806,1.925483871,0,0,1366.921
OtherClothing,15404.39851,15004.11547,245.617,9,13.44,10.98,22.9,229.67,7.74,10.769,814,3.565,15.28,1019.612903,14,12.29032258,5.072258065,0,0,1086.2067
WomenClothing,14326.81553,14351.60173,235.582,9,12.97,11.05,22.13,56.78,10.25,9.296,787,3.62,12.225,1014.533333,14.06666667,11.36666667,3.971666667,1,0,2637.3274
MenClothing,15036.27763,14824.16577,241.569,9.5,13.59,10.71,22.55,90.35,7.37,10.7,831,3.37,14.525,1014.966667,14.96666667,8.133333333,3.505666667,0,0,1694.74
OtherClothing,17208.86468,15870.17805,259.985,6.2,11.83,10.09,24.4,94.2,-2.84,10.206,787,3.58,9.975,1016.933333,14.06666667,10.1,6.748,2,0,1248.7252
WomenClothing,16152.36594,15392.24928,252.406,8.2,12.06,10.94,23.27,82.18,-7.17,12.885,764,3.47,11.1,1013.566667,14.26666667,7.166666667,2.532,1,0,3098.689
OtherClothing,15649.03814,15085.22926,250.058,9,12.28,10.8,22.85,114.1,-23.55,13.436,809,3.77,11.65,1011.354839,12.77419355,7.35483871,15.52741935,0,0,1025.9186
OtherClothing,14875.69844,14741.36735,241.075,9.6,13.84,11,22.6,90.07,2.25,9.008,766,3.375,11.34,1015.774194,14.93548387,8.967741935,2.468064516,1,1,1147.8677
WomenClothing,16272.70623,15362.09786,254.285,7.7,11.88,10.64,23.58,80.87,-1.32,12.121,790,3.375,10.875,1021.033333,14.7,9.3,1.532333333,1,2,3517.7893
WomenClothing,16208.31476,15292.34986,254.277,7.8,11.95,10.37,23.52,81.95,-2.61,12.121,782,3.375,10.875,1014.193548,13.4516129,7.903225806,2.393548387,1,1,3143.1194
MenClothing,14410.77718,14425.97275,238.568,9.8,13.71,10.89,22.2,64.07,-0.3,8.989,827,3.47,10,1018.7,15.03333333,9.266666667,1.913666667,0,1,585.78546
MenClothing,16955.60863,15705.97267,259.596,6.6,11.85,10.22,24.35,90.96,3.97,10.206,807,3.58,9.75,1018.190476,13.04761905,10.76190476,2.71,0,2,559.8675
OtherClothing,16884.85482,15729.95937,257.069,7.2,11.88,10.13,24.04,89.35,-0.82,10.136,777,3.48,9.65,1018.193548,14.77419355,8.096774194,0.295806452,1,1,1672.2162
OtherClothing,14652.88027,14581.37569,238.862,9.8,14.26,10.83,22.57,80.04,3.41,9.008,763,3.37,11.4,1007.964286,13,12.92857143,6.069285714,1,1,1076.468
OtherClothing,17792.11695,16319.78631,258.376,5.7,11.99,10.47,24.88,67.35,-1.39,10.845,760,3.775,9.45,1019.387097,13.03225806,11.67741935,4.28483871,0,2,1701.5492
WomenClothing,18201.39289,16505.53762,261.347,5.1,12.1,9.8,25.04,71.82,-0.73,8.75,784,3.675,9.475,1015.225806,15.35483871,5.903225806,1.925483871,0,0,3911.1538
WomenClothing,16955.60863,15705.97267,259.596,6.6,11.85,10.22,24.35,90.96,3.97,10.206,807,3.58,9.75,1018.190476,13.04761905,10.76190476,2.71,0,2,3022.122
MenClothing,15740.54453,15148.8222,248.307,8.5,12.36,10.36,23.22,95.45,-8.82,14.431,757,3.575,10.65,1020.633333,14.66666667,9.533333333,3.386333333,2,2,1087.7236
MenClothing,17109.77703,15804.51907,259.971,6.7,11.83,10.09,24.5,96.95,3.08,10.206,807,3.58,9.95,1015.709677,14.74193548,11.61290323,3.008064516,0,0,711.0371
OtherClothing,18163.85799,16475.99985,261.199,5.2,12.04,9.69,24.83,72.35,0,8.85,807,3.725,10.25,1012.741935,14.16129032,5.483870968,3.262580645,0,2,1341.2351
OtherClothing,16785.31219,15644.83227,258.504,7.2,11.88,10.13,24.16,90.09,-2.83,10.136,777,3.48,9.65,1016.566667,14.66666667,6.366666667,2.497666667,0,1,1542.3086
MenClothing,16239.4201,15433.36987,252.016,8.2,12.06,10.94,23.48,83.97,2.18,12.4,773,3.375,11.4,1013.766667,14.36666667,6.566666667,3.564333333,0,1,602.33856
OtherClothing,16776.99257,15673.43997,257.659,7.3,11.88,10.13,23.8,92.71,0.1,10.015,796,3.48,13.38,1016.483871,13.93548387,6.096774194,2.336129032,0,0,1311.3032
WomenClothing,14410.77718,14425.97275,238.568,9.8,13.71,10.89,22.2,64.07,-0.3,8.989,827,3.47,10,1018.7,15.03333333,9.266666667,1.913666667,0,1,2385.468
WomenClothing,16685.74225,15606.00807,257.326,7.3,11.95,10.34,23.81,92.62,-0.49,10.025,815,3.475,10.35,1016.774194,13.12903226,7,2.327096774,0,1,3305.4875
MenClothing,14844.53119,14724.20015,240.529,9.9,14.26,10.83,22.53,88.09,2.68,9.008,747,3.47,11.365,1013.166667,14.46666667,10.2,2.532,1,0,586.52484
MenClothing,14512.4953,14471.04084,238.427,9.9,13.6,11.2,22.38,76.78,6.97,8.989,774,3.37,10.425,1017.225806,13.77419355,13.4516129,5.957096774,2,1,922.06146
MenClothing,17792.11695,16319.78631,258.376,5.7,11.99,10.47,24.88,67.35,-1.39,10.845,760,3.775,9.45,1019.387097,13.03225806,11.67741935,4.28483871,0,2,559.7428
MenClothing,18278.30427,16540.85972,261.515,5,12.1,9.8,25.14,69.03,0.42,8.398,772,3.675,9.7,1018.935484,15.16129032,8.451612903,3.203870968,1,1,1221.0304
OtherClothing,14421.7529,14407.05334,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,799,4.17,11.55,1015.967742,14,12,2.443225806,0,2,904.2579
MenClothing,14596.60545,14595.39309,238.38,10,13.71,10.89,22.27,66.82,4.29,8.989,799,3.37,10,1016.774194,14.06451613,9.677419355,4.572580645,1,1,615.3188
MenClothing,15285.93602,14975.04021,241.874,9.3,13.44,10.94,22.76,168.22,8.2,10.829,807,3.52,15.275,1010.903226,14.19354839,13.29032258,3.47516129,2,3,996.2765
WomenClothing,16884.85482,15729.95937,257.069,7.2,11.88,10.13,24.04,89.35,-0.82,10.136,777,3.48,9.65,1018.193548,14.77419355,8.096774194,0.295806452,1,1,3617.6455
OtherClothing,14389.20047,14366.17657,234.663,8.3,12.97,11.05,22.22,55.21,-4.32,9.296,799,3.87,11.1,1017.071429,15.17857143,12.21428571,0.781071429,1,1,862.81134
MenClothing,16121.95896,15354.65058,252.652,8.2,12.06,10.94,23.32,88.53,-11.56,14.428,772,3.373,10.75,1016.137931,12.17241379,6.379310345,3.828275862,1,1,722.4082
WomenClothing,15161.57833,14801.73418,243.832,9,13.44,10.98,22.99,213.18,19.14,10.769,814,3.565,15.28,1015.392857,13.64285714,12.25,3.148214286,1,1,2613.8318
OtherClothing,16641.16284,15584.74753,256.911,7.5,11.95,10.34,23.92,93.08,0.5,9.82,785,3.475,10.35,1012.966667,13,7.2,8.552,1,0,1279.5267
OtherClothing,16955.60863,15705.97267,259.596,6.6,11.85,10.22,24.35,90.96,3.97,10.206,807,3.58,9.75,1018.190476,13.04761905,10.76190476,2.71,0,2,1156.6095
MenClothing,14590.43225,14559.41017,238.777,9.9,13.6,11.2,22.44,71.78,7.42,8.989,767,3.37,9.95,1019.033333,14.66666667,11.13333333,1.364333333,0,2,515.69885
MenClothing,15840.38541,15249.76348,250.051,8.8,12.28,10.8,23.3,110.61,-5.18,14.431,797,3.775,10.825,1015.034483,13.89655172,8.862068966,5.334137931,1,1,570.85516
WomenClothing,16073.57539,15385.84702,250.285,8.3,12.34,10.89,23.4,100.75,-0.36,14.426,754,3.475,10.35,1016.714286,14.32142857,10.71428571,1.234642857,1,1,2781.0823
WomenClothing,14776.31725,14682.01074,240.101,9.9,14.26,10.83,22.48,85.79,7.18,9.008,763,3.47,11.375,1011.258065,13.83870968,12.80645161,8.759354839,0,0,2968.1746
WomenClothing,16461.87323,15450.31864,256.27,7.5,11.95,10.34,23.8,92.62,0.09,12.076,869,3.38,12.45,1018.129032,12.87096774,7.870967742,6.55516129,1,1,3098.1094
MenClothing,17931.04619,16400.92674,259.24,5.5,11.98,9.85,25.05,69.84,3.7,10.845,781,3.625,10.2,1017.607143,13.42857143,11.75,1.851785714,1,1,634.08374
MenClothing,16776.99257,15673.43997,257.659,7.3,11.88,10.13,23.8,92.71,0.1,10.015,796,3.48,13.38,1016.483871,13.93548387,6.096774194,2.336129032,0,0,714.20715
MenClothing,14421.7529,14407.05334,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,799,4.17,11.55,1015.967742,14,12,2.443225806,0,2,522.25305
MenClothing,15649.03814,15085.22926,250.058,9,12.28,10.8,22.85,114.1,-23.55,13.436,809,3.77,11.65,1011.354839,12.77419355,7.35483871,15.52741935,0,0,581.1071
MenClothing,18188.64247,16521.30189,261.512,5.3,12.04,9.69,24.77,72.35,-0.7,9.399,797,3.775,10.15,1014.866667,13.1,7.533333333,4.022666667,1,0,734.9953
WomenClothing,15649.03814,15085.22926,250.058,9,12.28,10.8,22.85,114.1,-23.55,13.436,809,3.77,11.65,1011.354839,12.77419355,7.35483871,15.52741935,0,0,3178.5137
MenClothing,16461.87323,15450.31864,256.27,7.5,11.95,10.34,23.8,92.62,0.09,12.076,869,3.38,12.45,1018.129032,12.87096774,7.870967742,6.55516129,1,1,731.32355
WomenClothing,14317.37292,14345.6761,237.6,9.5,13.32,11.25,22,64.8,5.55,8.905,796,3.47,9.7,1013.580645,12.93548387,7.903225806,5.825806452,0,2,2218.0215
OtherClothing,17765.33757,16243.05473,259.382,5.8,11.99,10.47,24.78,67.53,-3.99,10.818,783,3.775,9.45,1017.4,14.3,8.6,3.598666667,0,2,1294.8882
MenClothing,16503.91568,15554.42688,254.807,8,11.88,10.64,23.88,85.51,2.57,12.077,849,3.38,11.475,1019.806452,13.25806452,10.32258065,2.262580645,0,2,562.237
WomenClothing,15488.00486,15050.66117,246.489,9.1,13.44,10.98,22.96,216.62,-5.68,10.769,804,3.665,15.28,1013.566667,13.06666667,11.76666667,4.530333333,1,0,3033.5562
WomenClothing,15404.39851,15004.11547,245.617,9,13.44,10.98,22.9,229.67,7.74,10.769,814,3.565,15.28,1019.612903,14,12.29032258,5.072258065,0,0,3216.628
